ticket_id,created_at,title,description,priority,status,category,platform,device_type,country,service,assigned_team,error_code,resolved_at,incident_id,is_isolated,is_duplicate
T000999,2026-01-25 15:25:00,Subscription authorization denied,Content access is blocked even though the subscription is active.,Low,Resolved,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-25 20:50:00,INC0011,False,True
T000715,2026-04-09 14:41:00,Android users cannot log in,The Android application does not complete login for multiple customers.,Medium,Open,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0035,False,False
T000754,2026-02-26 17:24:00,Subscribed users cannot access content,Content access is blocked even though the subscription is active.,Medium,Closed,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-02-27 00:38:00,INC0007,False,False
T000328,2026-05-17 06:49:00,401 when signing in on Android,The Android application does not complete login for multiple customers. Please investigate.,Medium,In Progress,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0049,False,False
T000383,2026-01-13 00:22:00,401 when signing in on ndroid,The Android application does not complete login for multiple customers.,High,Closed,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-13 07:44:00,INC0016,False,False
T000452,2026-02-11 14:07:00,Cast session disconnects,The mobile app connects to Chromecast but playback fails to initialize.,Medium,In Progress,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,,INC0019,False,False
T000523,2026-01-21 19:27:00,Subscribed users cannot access content,Valid subscribers receive an authorization denied response.,High,Resolved,Authentication,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-21 20:32:00,INC0014,False,False
T000219,2026-06-25 02:22:00,Playback fails on Samsung TV,Users on Samsung Smart TV are nable to play content. Error 403 is observed during DRM validation.,High,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-25 05:24:00,INC0037,False,False
T000788,2026-05-24 20:32:00,Live TV fails on tvOS,Live channels do not start on Apple TV. The player remains on a black screen.,High,Open,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0030,False,False
T000437,2026-01-25 14:52:00,Subscription authorization denied,Valid suscribers receive an authorization denied response.,Medium,Resolved,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-25 19:39:00,INC0011,False,False
T000765,2026-02-11 13:44:00,Chromecast cannot start stream,Users cannot start VOD playback through Chromecast.,High,Closed,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-02-11 22:26:00,INC0019,False,False
T000089,2026-06-25 00:53:00,Playback fails on Samsung TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-25 04:24:00,INC0037,False,False
T000064,2026-02-06 08:26:00,Stream timeout on set-top boxes,Set-top boxes lose the streaming connection shortly after playback starts.,Medium,Resolved,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-02-06 10:08:00,INC0029,False,False
T000827,2026-01-23 02:59:00,Android users cannot log in Please investigate.,Login attempts fail on Android mobile devices after entering valid credentials.,Critical,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-23 08:19:00,INC0048,False,False
T000717,2026-01-21 10:47:00,EPG not updating Please investigate.,TV guide metadata appears stale or missing across supported devices.,Medium,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-21 16:32:00,INC0017,False,False
T000352,2026-01-24 08:47:00,Samsung playback returns 403,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,High,Resolved,CDN,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-01-24 10:58:00,INC0005,False,False
T000937,2026-03-24 00:31:00,Profile avatar not saved,A user cannot save a new profile avatar.,High,Closed,Other,Android,Mobile,DK,Other,Customer Support,,,,True,False
T000257,2026-04-09 13:28:00,Android users cannot log in,Customers using the Android app are unable to sign in and receive HTTP 401.,Low,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-09 18:17:00,INC0035,False,False
T000636,2026-01-24 08:18:00,Samsung playback returns 403,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,High,Open,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0005,False,False
T000645,2026-02-27 05:04:00,Black screen on Apple TV,Playback requests on tvOS are accepted but video never starts.,High,Open,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0002,False,False
T000555,2026-01-02 06:54:00,TV guide has empty slots,Customers cannot see programme titles for multiple live channels.,High,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-02 17:01:00,INC0008,False,False
T000960,2026-03-03 02:12:00,EPG data missing,Programme guide data is missing for several channels in Norway.,Medium,Closed,Authorization,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-03-03 10:15:00,INC0047,False,True
T000169,2026-03-28 03:22:00,Live TV fails on tvOS,tvOS clients are unable to initialize playback for live content.,High,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-03-28 12:45:00,INC0010,False,False
T000918,2026-01-07 14:31:00,Search spelling result Please investigate.,Search gives an unexpected result for one misspelled title.,Medium,Closed,Other,Web,Mobile,SE,Other,Customer Support,,,,True,False
T000529,2026-06-13 19:17:00,TV guide has empty slots,Programme guide data is missing for several channels in Norway.,Medium,Open,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,,INC0042,False,False
T000824,2026-06-04 12:27:00,Cast session disconnects,Casting begins but the session disconnects before video starts.,Medium,Closed,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-06-04 21:18:00,INC0012,False,False
T000986,2026-01-12 23:49:00,Login failing in Android app,Login attempts fail on Android mobile devices after entering valid credentials.,Medium,Closed,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-13 07:18:00,INC0016,False,True
T000817,2026-03-09 18:44:00,Black screen when starting live TV Please investigate.,Live TV does not start on Samsung televisions. The client reports DRM authorization failure.,High,Open,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0040,False,False
T000087,2026-05-30 15:21:00,Customes see not subscribed message Please investigate.,Entitlement validation incorrectly reports that users do not have a subscription.,Medium,Resolved,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-05-30 18:03:00,INC0031,False,False
T000433,2026-02-26 15:21:00,Customers see not subscribed message Please investigate.,Valid subscribers receive an authorization denied response.,Medium,Closed,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-02-26 19:20:00,INC0007,False,False
T000185,2026-05-16 09:38:00,Stream timeout on set-top boxes,Live streaming fails intermittently due to upstream timeout errors.,High,Resolved,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-05-16 11:34:00,INC0036,False,False
T000979,2026-04-08 12:10:00,401 when signing in on Android,Customers using the Android app are unable to sign in and receive HTTP 401.,Low,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-08 22:45:00,INC0018,False,True
T000535,2026-05-10 04:46:00,Customers report repeated buffering,A high buffering ratio is observed across VOD sessions served by the primary CDN.,Critical,Closed,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-10 09:44:00,INC0041,False,False
T000295,2026-06-21 12:05:00,Black creen on Apple TV,tvOS clients are unable to initialize playback for live content.,High,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-21 20:55:00,INC0020,False,False
T000893,2026-03-24 12:48:00,Profile avatar not saved,A user cannot save a new profile avatar.,High,Open,Other,Android,Smart TV,DK,Other,Customer Support,,,,True,False
T000426,2026-05-24 09:48:00,Black screen when starting live TV,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,Medium,Open,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0006,False,False
T000714,2026-03-09 18:25:00,Black screen when starting live TV,Live TV does not start on Samsung televisions. The client reports DRM authorization failure.,High,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-03-10 05:31:00,INC0040,False,False
T000261,2026-01-21 10:23:00,EPG not updating,Programme guide data is missing for several channels in Norway.,Medium,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-21 20:00:00,INC0017,False,False
T000238,2026-02-11 13:17:00,Cast session disconnects,Casting begins but the session disconnects before video starts.,Medium,In Progress,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,,INC0019,False,False
T000560,2026-06-24 00:27:00,Authentication error on mobile,The Android application does not complete login for multiple customers.,Medium,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-06-24 04:53:00,INC0003,False,False
